Date,Away Team,Away Team Odds,Away Team Decimal Odds,Away Team Implied Probability,Away Probability,Home Probability,Home Team Implied Probability,Home Team Decimal Odds,Home Team Odds,Home Team,source_file,actual_away_score,actual_home_score,actual_winner,prediction_correct,bet_placed,bet_outcome,predicted_winner,prediction_confidence,month
2024-12-07,TOR,-160.0,1.62,0.6153846153846154,0.4168114144994781,0.5831885855005219,0.425531914893617,2.35,135.0,PIT,2024-12-07.csv,2.0,5.0,PIT,True,home,1.35,PIT,0.5831885855005219,2024-12
2024-12-07,MIN,135.0,2.35,0.425531914893617,0.5,0.5,0.6153846153846154,1.62,-160.0,LA,2024-12-07.csv,1.0,4.0,LA,True,,0.0,LA,0.5,2024-12
2024-12-07,STL,225.0,3.25,0.3076923076923077,0.4369722180199697,0.5630277819800302,0.7333333333333333,1.36,-275.0,EDM,2024-12-07.csv,2.0,4.0,EDM,True,,0.0,EDM,0.5630277819800302,2024-12
2024-12-08,SEA,145.0,2.45,0.40816326530612246,0.5233499004650942,0.4766500995349058,0.6363636363636364,1.57,-175.0,NYR,2024-12-08.csv,7.0,5.0,SEA,True,away,1.45,SEA,0.5233499004650942,2024-12
2024-12-08,TB,-115.0,1.87,0.5348837209302325,0.5482570109778164,0.4517429890221836,0.5121951219512195,1.95,-105.0,VAN,2024-12-08.csv,4.0,2.0,TB,True,away,0.8695652173913043,TB,0.5482570109778164,2024-12
2024-12-08,NYI,120.0,2.2,0.45454545454545453,0.4685284625937904,0.5314715374062094,0.5833333333333334,1.71,-140.0,OTT,2024-12-08.csv,4.0,2.0,NYI,False,,0.0,OTT,0.5314715374062094,2024-12
2024-12-08,CBJ,140.0,2.4,0.4166666666666667,0.4729710190410859,0.527028980958914,0.6226415094339622,1.61,-165.0,WPG,2024-12-08.csv,4.0,1.0,CBJ,False,,0.0,WPG,0.527028980958914,2024-12
2024-12-08,COL,130.0,2.3,0.43478260869565216,0.4403740151357761,0.5596259848642238,0.6078431372549019,1.65,-155.0,NJ,2024-12-08.csv,4.0,0.0,COL,False,,0.0,NJ,0.5596259848642238,2024-12
2024-12-08,UHC,-110.0,1.91,0.5238095238095238,0.5157962795307157,0.4842037204692843,0.5238095238095238,1.91,-110.0,PHI,2024-12-08.csv,4.0,2.0,UHC,True,,0.0,UHC,0.5157962795307157,2024-12
2024-12-08,CGY,190.0,2.9,0.3448275862068966,0.5,0.5,0.6923076923076923,1.44,-225.0,DAL,2024-12-08.csv,2.0,6.0,DAL,True,,0.0,DAL,0.5,2024-12
2024-12-09,DET,105.0,2.05,0.4878048780487805,0.3865510866616851,0.613448913338315,0.5555555555555556,1.8,-125.0,BUF,2024-12-09.csv,6.0,5.0,DET,False,home,-1.0,BUF,0.613448913338315,2024-12
2024-12-09,CHI,200.0,3.0,0.3333333333333333,0.4343757862580357,0.5656242137419643,0.7142857142857143,1.4,-250.0,NYR,2024-12-09.csv,2.0,1.0,CHI,False,,0.0,NYR,0.5656242137419643,2024-12
2024-12-09,ANA,120.0,2.2,0.45454545454545453,0.3865298508459936,0.6134701491540064,0.5918367346938775,1.69,-145.0,MTL,2024-12-09.csv,2.0,3.0,MTL,True,home,0.6896551724137931,MTL,0.6134701491540064,2024-12
2024-12-10,TOR,115.0,2.15,0.46511627906976744,0.4294368738711336,0.5705631261288664,0.574468085106383,1.74,-135.0,NJ,2024-12-10.csv,2.0,1.0,TOR,False,,0.0,NJ,0.5705631261288664,2024-12
2024-12-10,COL,-175.0,1.57,0.6363636363636364,0.5100535574347024,0.4899464425652976,0.40816326530612246,2.45,145.0,PIT,2024-12-10.csv,6.0,2.0,COL,True,,0.0,COL,0.5100535574347024,2024-12
2024-12-10,SJ,375.0,4.75,0.21052631578947367,0.4358503187031461,0.5641496812968538,0.8333333333333334,1.2,-500.0,CAR,2024-12-10.csv,2.0,3.0,CAR,True,,0.0,CAR,0.5641496812968538,2024-12
2024-12-10,PHI,-120.0,1.83,0.5454545454545454,0.5,0.5,0.5,2.0,100.0,CBJ,2024-12-10.csv,5.0,3.0,PHI,False,,0.0,CBJ,0.5,2024-12
2024-12-10,LA,-125.0,1.8,0.5555555555555556,0.5633238455348655,0.4366761544651346,0.4878048780487805,2.05,105.0,NYI,2024-12-10.csv,3.0,1.0,LA,True,away,0.8,LA,0.5633238455348655,2024-12
