Game,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,a_days_of_rest,a_CA,a_CF,a_FA,a_FF,a_GA,a_GF,a_HDCA,a_HDCF,a_HDGA,a_HDGF,a_HDSA,a_HDSF,a_LDCA,a_LDCF,a_LDGA,a_LDGF,a_LDSA,a_LDSF,a_MDCA,a_MDCF,a_MDGA,a_MDGF,a_MDSA,a_MDSF,a_PDO,a_SA,a_SCA,a_SCF,a_SF,a_xGA,a_xGF,h_days_of_rest,h_CA,h_CF,h_FA,h_FF,h_GA,h_GF,h_HDCA,h_HDCF,h_HDGA,h_HDGF,h_HDSA,h_HDSF,h_LDCA,h_LDCF,h_LDGA,h_LDGF,h_LDSA,h_LDSF,h_MDCA,h_MDCF,h_MDGA,h_MDGF,h_MDSA,h_MDSF,h_PDO,h_SA,h_SCA,h_SCF,h_SF,h_xGA,h_xGF
"2022-02-19 - BOS 3, OTT 2",2022-02-19,BOS,3,OTT,2,Lost,1.0,40.051,42.995,32.033,32.419,2.212,1.124,8.465,7.309,0.999,0.596,5.962999999999999,6.193,20.259,19.558,0.7769999999999999,0.105,11.163,10.632,8.922,13.276000000000002,0.3989999999999999,0.414,4.253,7.165000000000001,0.9507,22.819,17.426,20.589,25.107,1.75,1.752,1.0,48.505,43.729,36.075,33.205,1.4469999999999998,1.591,8.766,8.712,0.518,0.7050000000000001,6.526999999999999,6.043,21.473,19.864,0.199,0.19,11.954,10.432,13.696000000000002,11.967,0.725,0.7020000000000001,7.075,5.381,1.0142,27.315000000000005,22.467,20.696,23.388,2.0380000000000003,1.901
"2022-02-19 - COL 5, BUF 3",2022-02-19,COL,5,BUF,3,Lost,2.0,39.973,52.86899999999999,29.631,36.949,1.004,1.4940000000000002,8.933000000000002,9.79,0.593,0.6910000000000001,5.794,6.677,18.306,27.04,0.199,0.288,9.331,13.359,9.755999999999998,13.626,0.206,0.504,4.7620000000000005,6.970000000000001,1.012,21.02,18.746,23.355,27.949,1.628,2.1,1.0,47.065,39.940000000000005,36.871,30.320000000000004,2.178,1.995,9.907,8.453,0.969,1.306,7.375,6.465999999999999,21.614,16.842,0.577,0.288,11.496,9.81,12.404,11.401,0.614,0.3889999999999999,6.62,5.651999999999999,1.0008,27.087,22.32,19.856,23.576,2.309,1.858
"2022-02-19 - STL 6, TOR 3",2022-02-19,STL,6,TOR,3,Lost,1.0,43.277,38.829,33.401,29.974,1.813,2.406,9.354,7.295,0.907,0.998,5.936,4.979,18.058,16.429,0.288,0.512,8.346,8.358,13.699000000000002,13.254,0.6180000000000001,0.881,6.825999999999999,7.211,1.0305,22.088,23.098000000000003,20.439,21.945,2.06,1.819,1.0,41.588,49.673,32.058,38.036,2.287,2.759,7.475,9.596,1.412,1.31,6.106999999999999,7.494,20.101000000000003,22.084,0.194,0.112,10.143,10.363,11.535,17.080000000000002,0.687,1.229,6.048,9.358,1.0017,23.481,18.993,26.679,28.212,1.932,2.225
"2022-02-19 - SEA 1, CGY 2",2022-02-19,SEA,1,CGY,2,Won,1.0,42.273,45.487,30.746,32.68599999999999,1.914,2.001,8.482000000000001,8.008,0.808,0.71,5.462,5.298,17.572000000000003,20.228,0.207,0.5040000000000001,8.778,10.01,13.391,14.551999999999998,0.918,0.805,4.889,6.511999999999999,1.0037,20.719,21.827,22.653,22.653,1.777,1.787,2.0,36.989,59.585,29.823,46.572,1.467,3.629,6.715000000000001,11.19,0.7010000000000001,1.714,4.154,8.758999999999999,16.089,26.596,0.0,0.407,8.749,13.95,11.063,18.009,0.776,1.489,6.255,9.111,1.0394,20.682,17.9,29.041,33.230000000000004,1.648,2.714
"2022-02-19 - ANA 7, VAN 4",2022-02-19,ANA,7,VAN,4,Lost,1.0,44.344,35.797000000000004,33.889,29.004,1.956,1.934,9.152,7.141000000000001,1.0550000000000002,1.017,6.662000000000001,5.343,19.333,16.654999999999998,0.305,0.534,10.702,8.264,14.089000000000002,9.413,0.593,0.398,6.640000000000001,4.351,1.0181,24.971,23.314,16.538999999999998,20.096,2.128,1.802,1.0,47.045,44.934,35.247,33.9,1.72,2.018,9.037,6.904000000000001,0.8230000000000001,1.0,6.671000000000001,4.590999999999999,22.424,20.36,0.292,0.4050000000000001,10.54,10.783,12.492,14.537,0.608,0.601,5.946000000000001,7.57,1.0089,24.366,21.556,21.425,24.278,2.046,1.831
"2022-02-19 - LA 5, ARI 3",2022-02-19,LA,5,ARI,3,Lost,0.0,35.935,48.698,27.068,37.06,1.89,1.825,8.316,9.116,1.2,1.2120000000000002,6.571,6.045,18.018,23.610000000000003,0.312,0.216,7.251,11.725,10.022,16.368000000000002,0.399,0.4119999999999999,4.491,8.509,0.9722,19.65,18.317,25.574,27.479,1.848,2.155,7.0,48.943,37.923,36.911,28.062,3.0,1.519,9.596,8.687999999999999,1.075,1.134,7.729000000000001,5.975,21.031,17.895999999999997,0.4019999999999999,0.0889999999999999,11.367,7.965999999999999,16.193,9.468,1.523,0.303,8.604,4.554,0.9717,28.897,25.655,18.263,19.453,2.18,1.7760000000000002
"2022-02-19 - EDM 4, WPG 2",2022-02-19,EDM,4,WPG,2,Lost,1.0,38.554,50.533,30.414,36.753,1.495,2.753,8.645,10.805,0.768,1.442,6.239,8.506,14.542999999999996,22.087,0.183,0.295,7.854999999999999,10.232,13.689000000000002,14.763,0.515,1.004,7.337000000000001,7.677999999999999,1.035,22.696,22.369000000000003,25.57,27.672000000000004,1.946,2.325,1.0,45.96,42.512,34.952,32.813,2.04,1.558,10.104,8.133,1.127,0.959,6.912999999999999,6.121,19.637,20.657000000000004,0.301,0.0,9.215,11.136,12.968,11.325,0.61,0.6020000000000001,6.205,5.224,0.9873999999999998,24.262,23.044,19.467,23.849,2.121,1.889
"2022-02-20 - NYR 2, OTT 1",2022-02-20,NYR,2,OTT,1,Lost,2.0,50.553,41.093,37.091,30.643,2.043,2.0200000000000005,12.15,8.868,1.325,1.255,9.185,6.734,21.028,19.473000000000003,0.4229999999999999,0.396,9.681,9.783,14.701999999999998,10.262,0.302,0.39,6.743,4.221,1.0188,27.315999999999995,26.814,19.23,21.993,2.496,2.029,0.0,50.45,43.075,37.361,32.638,1.4469999999999998,1.684,9.426,8.234,0.518,0.797,6.9670000000000005,5.375,22.027,20.174,0.094,0.19,12.368,10.36,14.23,11.598,0.8300000000000001,0.7020000000000001,7.392999999999999,5.474,1.0236999999999998,28.588,23.654,19.84,22.624,2.099,1.798
"2022-02-20 - MTL 3, NYI 2",2022-02-20,MTL,3,NYI,2,Lost,2.0,48.658,38.106,37.789,29.07,3.767,1.42,10.678,7.242999999999999,1.899,0.748,7.843999999999999,5.295,20.339,15.873,0.633,0.371,10.948,9.376,15.085,10.865,1.1909999999999998,0.294,8.552000000000001,5.800000000000001,0.9246,28.692,25.562,18.262,22.422,2.433,1.581,2.0,48.07,41.343,34.718,31.994,2.314,1.997,8.202,9.535,0.791,1.107,5.845000000000001,7.202000000000001,20.925,17.411,0.72,0.183,10.332,9.279,15.951,11.935,0.79,0.5970000000000001,8.151,5.607,0.9876,25.569,24.056,21.513,23.115,1.956,2.099
"2022-02-20 - FLA 5, CHI 2",2022-02-20,FLA,5,CHI,2,Lost,1.0,41.682,52.7,31.785999999999994,38.878,1.539,2.79,9.077,10.573,0.771,1.3370000000000002,6.406000000000001,7.833,19.182,22.616,0.295,0.222,10.367,9.883,11.064,16.75,0.484,1.24,5.593999999999999,9.947,1.0212,23.516,20.172,27.359,29.004,2.027,2.436,1.0,51.747,43.406,35.126,31.71,2.354,1.51,6.868,8.780000000000001,1.208,0.6890000000000001,4.973,6.3100000000000005,24.778,20.028,0.222,0.176,12.0,9.738,17.44,11.567,0.919,0.61,8.372,6.734999999999999,0.9722,26.371,24.312,20.377,23.71,1.964,1.7839999999999996
"2022-02-20 - BUF 3, CBJ 7",2022-02-20,BUF,3,CBJ,7,Won,0.0,45.159,40.53,35.344,30.308,2.495,1.986,9.808,8.161,1.1809999999999998,1.205,7.369,6.5760000000000005,20.149,17.523999999999997,0.5770000000000001,0.288,10.819,9.913,11.949,11.775,0.719,0.485,6.654999999999999,5.614,0.9889,26.359,21.722,19.954,23.738,2.217,1.807,2.0,51.717000000000006,48.301,40.801,36.234,3.342,2.441,10.492,8.584999999999999,1.731,0.987,8.129000000000001,5.755999999999999,24.048,24.3,0.617,0.62,13.187,11.564,13.971,12.505999999999998,0.991,0.818,8.057,6.662000000000001,0.9951,30.78,24.462,21.082,25.307,2.402,2.027
"2022-02-20 - DAL 1, ARI 3",2022-02-20,DAL,1,ARI,3,Won,1.0,51.337,43.70700000000001,37.708,31.937,1.85,1.992,9.194,8.600999999999999,0.8350000000000002,1.278,6.821,5.9590000000000005,24.292,19.425,0.2059999999999999,0.111,11.822,9.517,13.566,12.785,0.8160000000000001,0.592,7.093999999999999,6.019,1.0135999999999998,27.024,22.863,21.39,23.112,2.109,1.81,0.0,49.092,38.034000000000006,37.416,28.621,2.9170000000000003,1.807,9.717,8.733,0.979,1.3219999999999998,7.82,6.029000000000001,21.065,18.165,0.412,0.0889999999999999,11.841,8.083,16.436,9.117,1.531,0.3969999999999999,8.198,4.574,0.9901,28.93200000000001,26.059,17.883,19.692,2.196,1.798
"2022-02-20 - MIN 7, EDM 3",2022-02-20,MIN,7,EDM,3,Lost,1.0,41.382,46.55200000000001,30.693,35.823,1.815,2.326,7.398999999999999,8.401,1.299,1.137,6.023000000000001,6.0920000000000005,20.095,20.532,0.2159999999999999,0.294,10.558000000000002,10.687,10.659,14.544999999999998,0.205,0.8829999999999998,5.874,7.917999999999999,1.0077,23.65,18.091,22.944,25.686,1.687,2.004,0.0,36.865,49.796,29.357,36.765,1.284,2.676,8.212,10.852,0.662,1.458,5.742,8.484,13.813,21.762,0.183,0.206,7.452,10.537,13.178,14.367,0.41,1.004,7.13,7.346999999999999,1.0403,21.583,21.449,25.191000000000003,27.610000000000003,1.848,2.322
"2022-02-20 - VGK 4, SJ 1",2022-02-20,VGK,4,SJ,1,Lost,1.0,46.391,45.529,31.865,34.415000000000006,1.59,1.527,10.688,10.244000000000002,0.985,0.71,7.834999999999999,6.936,18.121,18.311,0.287,0.3999999999999999,7.842999999999999,8.712,14.710000000000004,14.268,0.297,0.4,5.9270000000000005,6.822999999999999,0.9988,23.1,25.517,24.459,24.361,2.157,2.301,2.0,54.17999999999999,39.706,39.364,30.28,2.732,1.52,11.66,9.99,1.736,0.916,7.856999999999999,7.159000000000001,29.766,19.37,0.516,0.111,11.417,6.823,14.507,12.331,0.501,0.497,6.764,5.636,0.9673,26.814,26.208,22.266,20.938,2.6130000000000004,1.987
"2022-02-20 - CAR 4, PIT 3",2022-02-20,CAR,4,PIT,3,Lost,1.0,41.345000000000006,48.176,31.674,35.767999999999994,1.566,2.305,8.921000000000001,10.343,0.794,1.402,6.117,6.5920000000000005,16.758999999999997,22.758000000000003,0.2779999999999999,0.189,8.196,11.178999999999998,12.921,12.095,0.489,0.701,6.842999999999999,5.881,1.0285,22.661,21.859,22.368,24.489,1.887,2.2960000000000003,2.0,42.401,47.19500000000001,31.021,35.719,1.735,1.477,7.212999999999999,7.598000000000001,1.229,1.0690000000000002,5.5920000000000005,6.195,19.956,23.6,0.321,0.188,10.123,11.743,12.845,12.389,0.191,0.199,6.546000000000001,6.763,0.9787,23.346,20.033,19.965,26.570000000000004,1.745,1.782
"2022-02-21 - COL 1, BOS 5",2022-02-21,COL,1,BOS,5,Won,1.0,39.859,52.446000000000005,29.58,36.658,1.182,1.912,8.822000000000001,10.702,0.6849999999999999,0.903,5.901999999999999,7.456,18.808,25.966,0.199,0.382,9.618,12.474,9.763,13.424,0.295,0.609,4.726,6.73,1.0181999999999998,21.305,18.639,24.059,27.522,1.621,2.193,1.0,41.442,44.095,32.606,33.965999999999994,2.0770000000000004,1.148,8.430000000000001,8.208,0.983,0.518,5.662000000000001,6.828,21.111,19.671,0.5539999999999999,0.105,11.511,10.991,9.725,13.35,0.4949999999999999,0.5189999999999999,4.716,7.348999999999999,0.9543,23.012,18.211,21.525,26.374,1.771,1.86
"2022-02-21 - SEA 2, VAN 5",2022-02-21,SEA,2,VAN,5,Won,1.0,42.577,43.884,31.937,31.517000000000003,1.896,1.722,8.959,7.18,0.996,0.712,6.291,4.926,18.243,20.303,0.207,0.4090000000000001,9.665,10.387,12.746,13.644,0.7070000000000001,0.6140000000000001,4.559,5.972,0.9968,22.132,21.652,20.928,22.221,1.855,1.6619999999999997,1.0,48.803,43.268,36.220000000000006,32.017999999999994,2.0490000000000004,2.199,9.548,5.86,1.264,0.997,7.064,4.081,23.657,20.153,0.181,0.5810000000000001,10.682,10.571000000000002,12.462,14.008,0.608,0.601,5.871,6.798,1.0120999999999998,24.619,22.018,19.838,22.71,2.095,1.634
"2022-02-21 - WPG 1, CGY 3",2022-02-21,WPG,1,CGY,3,Won,1.0,46.135000000000005,41.935,34.666000000000004,32.001999999999995,1.618,1.373,9.834,7.854999999999999,0.8089999999999999,0.775,6.653999999999999,5.758999999999999,19.911,19.6,0.301,0.0,9.803,10.544999999999998,12.888,12.26,0.505,0.6020000000000001,5.895,5.673,0.994,24.277,22.692,20.139000000000003,23.062,2.008,1.864,1.0,36.964,56.362,29.89,43.801,1.568,3.175,6.650999999999999,10.885,0.8019999999999999,1.575,4.175,8.493,16.141,24.938,0.0,0.295,8.776,12.932,11.111,17.067,0.776,1.287,6.323,8.299000000000001,1.0282,20.901000000000003,17.876,27.833,31.041,1.666,2.5380000000000003
"2022-02-21 - TOR 2, MTL 5",2022-02-21,TOR,2,MTL,5,Won,1.0,43.296,51.202,33.313,39.665,2.727,2.826,7.697999999999999,9.572,1.638,1.2040000000000002,6.417,6.95,20.146,23.811,0.194,0.289,10.162,11.523,12.629,16.915,0.8949999999999999,1.221,6.884,9.705,0.9897,24.998,20.267000000000003,26.564,29.187,2.029,2.223,0.0,47.424,38.029,36.83200000000001,29.129,3.859,1.53,10.792,6.885000000000001,1.899,0.748,7.873,4.911,19.768,16.326999999999998,0.633,0.476,10.108,9.859,14.658,11.087,1.2869999999999997,0.297,8.038,5.843,0.9246,27.183000000000003,25.292,18.101000000000003,22.617,2.436,1.582
"2022-02-21 - CAR 4, PHI 3",2022-02-21,CAR,4,PHI,3,Lost,0.0,41.873000000000005,46.631,32.266000000000005,35.468999999999994,1.55,2.431,8.978,10.214,0.783,1.529,6.5,6.609,17.549999999999997,22.939,0.184,0.189,8.769,11.462,12.929000000000002,11.062,0.585,0.701,6.718000000000001,5.612,1.0361,23.257,21.941000000000003,21.194,24.496,1.915,2.254,3.0,45.254,36.959,34.112,29.039,2.322,1.975,8.29,7.889,1.496,0.875,5.9030000000000005,5.972,21.239,16.262,0.193,0.609,10.754,8.469,13.531,10.682,0.6180000000000001,0.4979999999999999,7.109,5.702,1.0066000000000002,24.702,21.771,18.656,21.582,1.985,1.7600000000000002
"2022-02-22 - NSH 6, FLA 4",2022-02-22,NSH,6,FLA,4,Lost,3.0,42.107000000000006,40.982,32.053999999999995,31.274,1.588,1.983,7.259,7.693,1.295,0.994,5.7,5.301,18.845,17.964,0.183,0.189,9.572,9.641000000000002,13.955000000000002,12.564,0.102,0.8019999999999999,7.121,6.988,1.0198,22.97,21.29,20.265,22.632,1.865,1.816,1.0,38.852,52.004000000000005,29.774,38.871,1.7259999999999998,2.68,8.531,10.448,0.7710000000000001,1.3370000000000002,6.212000000000001,7.595999999999999,16.988999999999997,22.615,0.472,0.216,9.174,10.241,11.217,16.19,0.484,1.144,5.694000000000001,9.93,1.0048,22.318,19.758,26.679,29.09500000000001,1.893,2.406
"2022-02-22 - TOR 3, CBJ 4",2022-02-22,TOR,3,CBJ,4,Won,0.0,44.214,51.201,33.514,39.59,2.91,3.027,8.282,9.112,1.6190000000000002,1.306,6.813,6.36,19.997,24.557,0.301,0.289,10.232,12.169,12.879,16.549,0.995,1.3210000000000002,7.101999999999999,9.7,0.9936,25.666000000000004,21.112,25.784,29.176,2.088,2.161,1.0,52.234,49.30499999999999,41.232000000000006,37.213,3.438,2.9270000000000005,10.862,8.556000000000001,1.828,1.1789999999999998,8.615,5.901,23.607,25.032,0.617,0.7150000000000001,12.862,11.876,14.622,12.841,0.991,1.0099999999999998,8.313,7.1,1.0066000000000002,30.997,25.527,21.353,26.144,2.486,2.1060000000000003
"2022-02-22 - SJ 3, ANA 4",2022-02-22,SJ,3,ANA,4,Won,1.0,55.46,38.637,40.252,29.622,2.842,1.518,11.623,9.723,1.6350000000000002,0.913,7.678,6.897999999999999,28.74,19.233,0.516,0.111,11.129,7.103,17.014000000000003,10.927,0.606,0.497,7.767,4.645999999999999,0.9657,27.365,28.633,20.636,19.893,2.658,1.923,2.0,42.754000000000005,36.215,32.315000000000005,28.74,2.125,2.472,8.281,7.953,1.04,1.559,6.142,6.0120000000000005,18.883000000000003,16.588,0.481,0.534,10.704,7.52,13.528,9.136,0.593,0.398,6.488,3.919,1.0292,24.218,21.901,17.046,19.382,1.996,1.881
"2022-02-22 - MIN 3, OTT 4",2022-02-22,MIN,3,OTT,4,Won,1.0,39.857,45.633,29.398,35.269,1.787,2.97,7.377,8.376,1.269,1.246,5.949,6.016,18.607,19.21,0.2159999999999999,0.406,9.721,10.269,10.591,15.327000000000002,0.205,1.2929999999999997,5.944,8.07,1.036,22.803,18.042,23.65,25.281,1.6809999999999998,2.029,1.0,50.074,43.203,37.103,32.511,1.346,1.684,9.033,7.756,0.619,0.7030000000000001,6.773999999999999,4.8020000000000005,22.351,20.508,0.094,0.19,12.659,10.927,14.304000000000002,11.815,0.618,0.7969999999999999,7.011,4.98,1.0271,28.208,23.323,19.587,22.217,2.057,1.766
"2022-02-22 - NYI 5, SEA 2",2022-02-22,NYI,5,SEA,2,Lost,1.0,48.916,40.131,35.5,31.285,2.312,1.807,8.32,9.411,0.791,1.015,5.852,7.270999999999999,21.152,16.956,0.609,0.095,10.544,8.952,16.433,11.321,0.8949999999999999,0.5980000000000001,8.687000000000001,5.487,0.9858,26.346,24.641,20.812,22.731,2.039,2.073,0.0,44.363,43.529,33.669000000000004,30.788,1.869,1.729,9.335,6.838000000000001,1.0779999999999998,0.719,6.805,4.565,19.929,20.089,0.207,0.4090000000000001,11.1,9.943,12.104,13.904000000000002,0.591,0.6140000000000001,4.0120000000000005,6.205,1.0071,23.826,21.394,20.862,21.655,2.011,1.621
"2022-02-22 - STL 4, PHI 1",2022-02-22,STL,4,PHI,1,Lost,2.0,44.447,39.946000000000005,34.02,30.862,1.7779999999999998,2.551,8.661,7.400999999999999,0.589,1.223,5.348000000000001,5.252,19.457,16.443,0.465,0.311,8.984,7.967,14.31,14.233,0.714,0.995,7.533999999999999,8.006,1.034,22.754,23.042,21.506,22.858,1.9699999999999995,1.876,0.0,46.655,37.352,34.351,30.068,2.426,2.157,8.306000000000001,8.072999999999999,1.7079999999999995,1.15,5.915000000000001,6.156999999999999,22.497,16.801,0.193,0.5210000000000001,10.445,8.906,13.333000000000002,10.458000000000002,0.514,0.4979999999999999,6.906999999999999,5.427999999999999,1.0049,24.307,21.583,18.601000000000003,22.009000000000004,1.965,1.781
"2022-02-23 - COL 5, DET 2",2022-02-23,COL,5,DET,2,Lost,1.0,39.07,51.25,29.677000000000003,36.312,1.573,1.813,8.948,10.032,0.8800000000000001,0.8039999999999999,6.379,6.973999999999999,18.372,26.053999999999995,0.199,0.382,10.438,12.712,9.39,13.212,0.484,0.609,4.722,7.136,1.0021999999999998,22.598000000000003,18.379,23.204,27.715,1.7099999999999995,2.0810000000000004,5.0,43.289,41.017,34.466,30.153,2.401,2.289,9.12,7.372,1.396,1.269,6.220000000000001,5.767,20.282,17.944,0.184,0.322,11.433,9.206,12.649,13.338,0.716,0.714,7.106999999999999,6.401000000000001,0.9957,25.331,21.824,20.702,22.774,2.057,1.9470000000000005
"2022-02-23 - EDM 3, TB 5",2022-02-23,EDM,3,TB,5,Won,2.0,37.803,49.206,30.011000000000003,36.366,1.836,2.111,8.01,10.683,0.6799999999999999,1.1,5.726999999999999,8.146,14.499,21.334,0.295,0.206,7.628,10.278,13.928999999999998,14.215,0.82,0.8030000000000002,7.590000000000001,7.492999999999999,0.9953,21.961,21.95,24.919,27.27,1.881,2.293,7.0,41.18599999999999,43.493,30.993,33.231,1.473,2.693,7.464,10.694,0.798,1.344,5.142,7.228,22.966,22.115,0.2,0.62,9.393,9.634,13.279,13.038,0.49,0.7300000000000001,6.484999999999999,6.706999999999999,1.0315,21.666,20.738,23.749,23.872,1.735,2.133
"2022-02-23 - WPG 2, DAL 3",2022-02-23,WPG,2,DAL,3,Won,1.0,44.57,40.761,33.545,31.025,1.39,1.382,9.256,8.415000000000001,0.8089999999999999,0.784,6.465000000000001,6.553,19.518,18.024,0.189,0.0,9.397,9.438,12.394,12.256,0.391,0.6020000000000001,5.734999999999999,5.695,1.0013999999999998,23.422,21.639,20.67,22.725,1.942,1.828,2.0,50.561,43.448,36.487,32.196,1.852,1.882,8.836000000000002,9.153,0.929,1.066,6.65,5.921,24.43,19.276,0.2059999999999999,0.111,11.803,9.418,13.026,12.182,0.72,0.592,6.714,5.6850000000000005,1.0099,26.433,21.956,21.353,22.533,2.036,1.922
"2022-02-23 - LA 3, ARI 2",2022-02-23,LA,3,ARI,2,Lost,3.0,36.039,49.857,27.351,38.049,1.859,1.949,7.897,9.538,1.282,1.222,6.161,6.616,16.971,23.106,0.2009999999999999,0.321,7.053999999999999,12.165,10.711,17.001,0.388,0.422,4.869,8.461,0.9733,19.369,18.577,26.630000000000003,28.362,1.798,2.213,2.0,50.8,36.647,39.219,27.456,2.636,1.582,11.201,7.782000000000001,0.788,1.096,8.646,5.5200000000000005,21.714,18.132,0.216,0.0889999999999999,12.07,8.578,16.078,8.817,1.531,0.3969999999999999,8.308,4.258000000000001,0.9995999999999998,30.192,27.193,16.628999999999998,19.159,2.4240000000000004,1.645
"2022-02-23 - BUF 0, MTL 4",2022-02-23,BUF,0,MTL,4,Won,2.0,46.842,41.304,36.874,30.918,2.866,2.001,10.58,8.173,1.465,1.118,8.051,6.671000000000001,20.875,17.892,0.6719999999999999,0.3929999999999999,11.039,10.193,11.969,12.516,0.7,0.485,6.784000000000001,6.285,0.9772,27.586,22.462,20.751,24.681,2.363,1.887,1.0,46.732,39.711,35.983000000000004,30.139,3.4770000000000003,1.815,10.214,7.797999999999999,1.713,0.937,7.471000000000001,5.534999999999999,19.987,16.671,0.633,0.478,10.523,9.977,14.468,11.055,1.097,0.3969999999999999,7.872,5.761,0.9443,27.059000000000005,24.579,18.983,23.366000000000003,2.319,1.735
"2022-02-24 - NJ 6, PIT 1",2022-02-24,NJ,6,PIT,1,Lost,8.0,46.715,47.311,35.531,34.964,3.537,2.167,8.562000000000001,9.428999999999998,1.611,1.167,6.747,7.4300000000000015,25.642000000000003,23.485,0.477,0.288,10.978,10.569,13.558000000000002,15.608,1.432,0.706,7.589,7.379,0.9551,26.211,22.134,25.061,25.824,2.127,2.215,3.0,43.759,46.650000000000006,32.527,35.65,1.843,1.28,8.001000000000001,7.639999999999999,1.3370000000000002,0.8800000000000001,6.365,6.23,20.968,23.020000000000003,0.321,0.188,10.871,11.424,12.589000000000002,12.216,0.191,0.2009999999999999,6.462999999999999,6.449,0.9783,24.656,20.54,19.85,26.184,1.887,1.825
"2022-02-24 - MIN 1, TOR 3",2022-02-24,MIN,1,TOR,3,Won,1.0,42.031,44.807,31.081000000000007,34.317,1.864,2.691,7.779000000000001,7.735000000000001,1.261,0.958,6.061,5.734,19.461,19.191000000000003,0.2059999999999999,0.406,9.761,10.082,11.231,15.28,0.3,1.317,6.041,8.166,1.026,23.126,19.057,22.994000000000003,25.063,1.775,1.918,1.0,43.157,50.762,32.706,38.633,2.809,2.727,7.074,8.444999999999999,1.431,1.2120000000000002,5.698,6.106,20.375,24.913,0.301,0.289,10.472,12.652,12.595,16.044,1.092,1.216,7.084999999999999,9.229,0.9859,24.925,19.628,24.585,29.071,1.9150000000000005,2.04
"2022-02-24 - CBJ 6, FLA 3",2022-02-24,CBJ,6,FLA,3,Lost,1.0,48.596,50.051,37.424,37.871,3.006,3.114,9.786,8.565999999999999,1.7130000000000003,1.1789999999999998,7.656000000000001,5.907,21.919,25.248,0.505,0.7150000000000001,11.768,12.217,13.934,13.035,0.7889999999999999,1.2009999999999998,7.728,7.233,1.0184,28.253000000000004,23.8,21.533,26.901,2.216,2.154,1.0,38.649,54.001,29.70800000000001,40.843,2.03,2.9679999999999995,9.054,11.562,0.973,1.431,6.517,8.545,17.009,23.998,0.5650000000000001,0.311,9.004999999999999,11.027,10.421,15.454,0.484,1.144,5.402,9.593,0.9992,22.454,19.5,27.036,30.682,1.911,2.524
"2022-02-24 - WSH 1, NYR 4",2022-02-24,WSH,1,NYR,4,Won,6.0,47.537,42.536,35.902,31.231,1.643,1.935,8.283,8.168,1.009,1.006,6.295,6.043,24.312,19.061,0.111,0.418,11.781,9.193,12.417,13.182,0.516,0.513,5.7490000000000006,6.273000000000001,1.0209,25.097,20.705,21.435,22.385,2.077,1.869,3.0,50.639,42.185,37.235,31.370000000000005,1.924,1.645,10.848,8.728,1.111,1.07,7.950999999999999,6.547,21.845,19.916,0.4229999999999999,0.396,10.287,10.354,15.196000000000002,11.074,0.3969999999999999,0.191,6.813000000000001,4.7,1.0034999999999998,26.764,26.027,19.874,22.726,2.3280000000000003,2.022
"2022-02-24 - DAL 1, NSH 2",2022-02-24,DAL,1,NSH,2,Won,0.0,48.315000000000005,43.614,34.67,32.367,1.958,1.548,8.693000000000001,9.851,0.929,1.05,6.319,6.371,22.088,17.865000000000002,0.2059999999999999,0.111,10.8,8.940999999999999,12.501,12.066,0.825,0.286,6.651999999999999,5.127,0.9932,25.149,21.242,21.972,21.922,1.913,1.956,1.0,45.023,40.825,34.159,31.178999999999995,1.6669999999999998,2.287,7.936,8.058,1.1800000000000002,1.1960000000000002,6.321,5.821,21.078,17.974,0.2779999999999999,0.282,10.82,9.436,13.503,12.239,0.102,0.8019999999999999,7.296000000000001,6.822,1.0381,25.329,21.509,20.292,22.797,1.9810000000000003,1.843
"2022-02-24 - CGY 1, VAN 7",2022-02-24,CGY,1,VAN,7,Won,2.0,36.617,55.939,29.201,43.385000000000005,1.283,3.168,7.616,10.732,0.807,1.575,5.218,8.279,15.558000000000002,24.482,0.0,0.2009999999999999,8.098,12.98,10.463,16.867,0.492,1.382,5.722,8.196000000000002,1.0398,20.638,18.218,27.461,31.004,1.677,2.472,2.0,45.905,45.006,33.943,33.982,1.947,2.4799999999999995,8.703999999999999,6.597999999999999,1.365,1.185,6.545,4.731,22.326,21.257,0.088,0.5810000000000001,10.05,11.5,12.119,13.673999999999998,0.502,0.6970000000000001,5.976,6.396,1.0213,23.485,20.847,20.271,24.071,1.9200000000000004,1.837
"2022-02-24 - NYI 3, SJ 4",2022-02-24,NYI,3,SJ,4,Won,1.0,49.382,42.653,35.583,33.0,2.282,2.138,8.260000000000002,9.46,0.882,1.247,5.403,7.294,21.869,18.941,0.4979999999999999,0.095,10.496,10.238,15.983,11.742,0.8859999999999999,0.7030000000000001,8.564,5.901000000000001,0.9915999999999998,25.743,24.194,21.233,24.429,1.968,2.107,1.0,54.487,38.495,39.49,30.125,2.92,1.328,11.303,9.965,1.719,0.82,7.568,7.540000000000001,28.537,20.726000000000003,0.422,0.216,10.403,7.879,16.78,10.028,0.702,0.303,7.0920000000000005,4.429,0.9401,26.016,28.04,20.014000000000003,20.867,2.554,1.959
