Game,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,a_days_of_rest,a_CA,a_CF,a_FA,a_FF,a_GA,a_GF,a_HDCA,a_HDCF,a_HDGA,a_HDGF,a_HDSA,a_HDSF,a_LDCA,a_LDCF,a_LDGA,a_LDGF,a_LDSA,a_LDSF,a_MDCA,a_MDCF,a_MDGA,a_MDGF,a_MDSA,a_MDSF,a_PDO,a_SA,a_SCA,a_SCF,a_SF,a_xGA,a_xGF,h_days_of_rest,h_CA,h_CF,h_FA,h_FF,h_GA,h_GF,h_HDCA,h_HDCF,h_HDGA,h_HDGF,h_HDSA,h_HDSF,h_LDCA,h_LDCF,h_LDGA,h_LDGF,h_LDSA,h_LDSF,h_MDCA,h_MDCF,h_MDGA,h_MDGF,h_MDSA,h_MDSF,h_PDO,h_SA,h_SCA,h_SCF,h_SF,h_xGA,h_xGF
"2021-11-08 - LA 5, TOR 1",2021-11-08,LA,5,TOR,1,Lost,2.0,41.53,42.249,31.131,32.812,1.424,1.461,8.366,8.509,0.907,0.979,6.614,6.673,19.116,21.829,0.0,0.193,9.097,10.896,13.978,12.757,0.509,0.287,6.433,5.880000000000001,1.0012,23.138,22.312,21.28,24.147,1.897,1.828,1.0,42.236,50.611,33.568,36.074,1.91,1.948,9.201,9.587,0.781,1.247,6.7010000000000005,7.428999999999999,18.804,21.242,0.305,0.095,9.243,8.902,12.427,18.733,0.8019999999999999,0.5900000000000001,6.758,8.609,1.0008,24.615,21.619,28.358,26.014,1.9,2.2269999999999994
"2021-11-08 - FLA 3, NYR 4",2021-11-08,FLA,3,NYR,4,Won,1.0,38.334,50.295,29.052000000000003,36.637,1.392,2.181,7.904999999999999,8.162,0.709,1.481,6.639,6.589,17.081,25.009,0.294,0.106,7.976999999999999,12.172,11.991,14.517,0.4009999999999999,0.584,6.348000000000001,7.646000000000001,1.0157,22.279,20.063,22.559,27.473000000000003,1.843,1.925,1.0,47.25599999999999,38.267,35.463,28.23,1.7420000000000002,1.4529999999999998,8.362,7.062,1.051,0.517,6.098000000000001,5.0920000000000005,19.607,16.189,0.0,0.0,9.212,6.634,16.421,12.368,0.6839999999999999,0.923,8.059000000000001,6.1530000000000005,1.0046000000000002,24.776,24.834,19.428,18.856,2.063,1.59
"2021-11-08 - BUF 3, WSH 5",2021-11-08,BUF,3,WSH,5,Won,1.0,42.014,40.983,33.127,31.649,1.987,1.571,10.404,8.273,1.101,0.8789999999999999,7.975,6.2330000000000005,19.077,19.715,0.212,0.287,11.634,11.719,10.947,11.829,0.599,0.396,4.965000000000001,5.761,0.9854,25.17,21.318,20.144,24.113,2.024,1.751,1.0,40.963,44.29,28.369,34.366,1.583,2.532,8.049000000000001,9.739,0.791,1.132,5.797,7.281000000000001,16.787,18.424,0.5820000000000001,0.428,8.584,10.108,12.547,13.212,0.199,0.991,6.022,6.209,1.022,21.193,20.666000000000004,22.929,24.887,1.654,2.082
"2021-11-09 - LA 3, MTL 2",2021-11-09,LA,3,MTL,2,Lost,0.0,42.841,42.856,31.287,33.458,1.11,1.7920000000000005,8.838,8.610000000000001,0.6980000000000001,1.408,6.585000000000001,6.796000000000001,19.683,23.244,0.0,0.1049999999999999,8.802000000000001,10.782,15.092000000000002,12.729,0.4039999999999999,0.287,6.529999999999999,6.259,1.0239999999999998,22.811,23.946,21.34,24.507,1.943,1.877,2.0,39.247,42.041,28.649,29.606,1.94,1.302,8.243,9.021,1.431,0.599,5.644,6.884,17.330000000000002,17.657,0.223,0.218,9.493,8.684999999999999,10.939,13.035,0.295,0.489,5.39,6.058,0.9721,21.836,19.136000000000003,22.153,22.551,1.659,1.87
"2021-11-09 - EDM 2, DET 4",2021-11-09,EDM,2,DET,4,Won,3.0,43.454,46.409000000000006,33.291,33.303,2.142,2.238,9.537,9.558,0.817,1.336,7.304,7.33,16.896,20.533,0.381,0.289,8.679,10.783,13.494,13.309,0.829,0.594,7.903999999999999,5.866,1.0184,25.372,23.130000000000003,22.828,24.647,1.943,2.038,1.0,50.235,38.276,36.983,29.884,2.08,1.627,11.589,7.590000000000001,1.086,1.135,7.932,5.898,20.653,15.995,0.202,0.107,10.822,8.751999999999999,13.867,12.11,0.788,0.412,6.932,6.757,0.9803999999999998,26.991,25.396,19.811,22.875,2.222,1.903
"2021-11-09 - CAR 2, TB 1",2021-11-09,CAR,2,TB,1,Lost,2.0,37.488,46.876,28.605,35.176,1.105,2.479,8.356,10.191,0.913,1.285,6.575999999999999,7.689,16.193,19.445,0.0,0.506,9.111,10.569,9.89,12.48,0.193,0.7070000000000001,4.674,5.946,1.044,21.197,18.319,22.695,25.508,1.888,2.137,2.0,35.955,43.283,27.485000000000003,34.086,1.6780000000000002,2.006,6.379,9.82,0.8699999999999999,1.199,5.033,6.311,18.236,22.163,0.304,0.2,8.076,10.508,11.597,13.309,0.483,0.603,6.745,6.682,0.9952,20.65,18.034,23.081,24.404000000000003,1.544,2.059
"2021-11-09 - FLA 3, NJ 7",2021-11-09,FLA,3,NJ,7,Won,0.0,37.143,50.385000000000005,28.077,37.662,1.392,1.892,8.193999999999999,9.221,0.709,1.298,6.744,7.331,16.098000000000003,23.825,0.294,0.106,7.651000000000001,11.91,11.42,15.113,0.4009999999999999,0.486,5.476999999999999,7.504,1.0048,21.109,19.735,24.297,27.866,1.81,2.069,2.0,43.167,44.431,30.922000000000004,33.511,1.5299999999999998,1.5559999999999998,6.723999999999999,9.369,0.908,0.964,5.258,7.282999999999999,22.116,22.231,0.105,0.277,9.28,10.681,15.212,12.957,0.517,0.305,6.422,5.548,0.9951,21.532,21.867,22.379,24.527,1.769,2.048
"2021-11-09 - PIT 2, CHI 3",2021-11-09,PIT,2,CHI,3,Won,2.0,44.157,46.216,32.870999999999995,36.239,1.9490000000000005,2.359,7.906999999999999,9.925999999999998,1.02,1.47,6.7620000000000005,8.389,20.509,22.224,0.205,0.112,9.761,10.759,15.245,13.273,0.717,0.774,8.144,6.984,1.0125,25.882,23.222,23.166,27.365,1.791,2.109,1.0,46.691,37.476,33.974000000000004,27.536,2.849,1.155,6.840999999999999,6.872,1.6170000000000002,0.859,6.332,4.7010000000000005,20.216,16.397,0.323,0.107,10.319,8.325,16.512,11.486999999999998,0.921,0.189,7.865,5.771,0.9469,25.296,23.391,18.445,19.556,1.996,1.5059999999999998
"2021-11-09 - STL 3, WPG 2",2021-11-09,STL,3,WPG,2,Lost,1.0,42.526,46.091,33.754000000000005,35.413,1.558,2.246,9.686,8.641,1.066,0.925,7.470999999999999,7.034999999999999,19.361,19.905,0.111,0.189,9.302,9.328,13.252,17.224,0.391,1.132,6.395,8.919,1.0261,24.169,23.012,25.779000000000003,26.219,2.036,2.09,2.0,43.892,47.253,33.471000000000004,33.731,1.468,2.306,9.47,8.574000000000002,0.991,1.363,6.894,6.627,19.664,23.612,0.188,0.21,9.533,9.808,13.316,14.939999999999998,0.2859999999999999,0.727,6.614,6.366,1.0422,24.805,22.912,23.475,23.836,2.109,1.981
"2021-11-09 - SJ 4, CGY 1",2021-11-09,SJ,4,CGY,1,Lost,2.0,46.147000000000006,39.34,34.538,27.932,1.791,1.9150000000000005,7.0840000000000005,7.161999999999999,0.6910000000000001,1.102,4.968999999999999,5.361,30.615,22.685,0.404,0.616,10.759,8.780999999999999,13.332,11.573,0.693,0.104,6.264,5.025,1.0235999999999998,23.721,20.414,18.688,20.961,1.855,1.534,2.0,38.635,51.622,29.938,38.867,0.984,2.358,6.489,8.088,0.5020000000000001,0.917,5.053,6.542,19.63,21.965000000000003,0.182,0.317,9.101,11.032,10.604,18.101,0.305,1.108,5.321,9.721,1.0291,21.016,17.245,26.076,28.607,1.7239999999999998,2.246
"2021-11-09 - ANA 3, VAN 2",2021-11-09,ANA,3,VAN,2,Lost,1.0,43.443,44.297,32.239999999999995,32.471000000000004,1.975,2.07,8.768,10.024,0.972,1.2919999999999998,6.866,7.403999999999999,19.432,18.898,0.506,0.189,9.663,9.37,12.409,11.84,0.5119999999999999,0.491,6.0440000000000005,4.979,1.0052,23.653,21.181,21.902,23.541,2.0420000000000003,2.022,1.0,40.451,38.935,30.647,28.461,1.2899999999999998,1.489,8.409,6.222,0.696,0.683,6.962999999999999,4.295,16.727,19.204,0.089,0.288,9.208,10.001,12.686,10.702000000000002,0.502,0.506,6.664,5.432,1.0245000000000002,23.582,21.081,17.026,20.467,1.839,1.454
"2021-11-09 - SEA 2, VGK 4",2021-11-09,SEA,2,VGK,4,Won,2.0,37.572,42.042,28.0,31.876,2.4690000000000003,2.071,6.597,8.822999999999999,1.262,1.002,5.833,7.0200000000000005,19.217,19.355,0.212,0.195,8.722,8.652,10.205,12.488,1.009,0.883,4.962000000000001,6.563,0.9683,20.414,16.875999999999998,21.304,22.587,1.542,1.863,1.0,49.307,50.69500000000001,35.839000000000006,36.864,2.005,1.703,11.931,9.888,1.598,0.994,8.85,7.044999999999999,18.212,23.424,0.218,0.312,9.167,11.833,15.788,12.85,0.205,0.4059999999999999,7.946000000000001,6.469999999999999,0.9853000000000002,27.315,27.738,22.779000000000003,27.279,2.544,2.1130000000000004
"2021-11-10 - TOR 3, PHI 0",2021-11-10,TOR,3,PHI,0,Lost,1.0,43.309000000000005,50.585,34.65,36.137,2.336,1.656,9.52,10.117,1.21,1.153,6.991,7.851000000000001,20.384,20.915,0.305,0.095,9.777,8.689,12.779,19.198,0.8019999999999999,0.4019999999999999,7.126,8.818999999999999,0.971,25.632,22.266,29.445,26.439,2.002,2.327,3.0,45.765,43.966,34.813,32.176,1.377,2.204,10.009,7.918000000000001,0.8029999999999999,0.997,7.418000000000001,6.44,19.473,19.825,0.177,0.307,11.166,9.495,13.762,12.278,0.404,0.899,5.808999999999999,7.475,1.0324,25.424,23.775,20.171,24.715,2.134,1.967
"2021-11-10 - NSH 4, DAL 2",2021-11-10,NSH,4,DAL,2,Lost,2.0,41.027,40.487,31.669,30.568,1.65,1.509,7.343999999999999,6.569,1.059,0.922,5.63,5.148,18.797,18.6,0.193,0.093,9.739,7.705000000000001,13.367,14.515,0.3929999999999999,0.489,6.992,7.433999999999999,1.0038,23.137,20.69,21.147,20.927,1.759,1.703,2.0,44.042,40.358,31.534,30.898,1.4780000000000002,1.113,7.561,7.858,0.986,0.7049999999999998,5.318,5.978,20.64,17.193,0.183,0.094,10.354,8.766,12.306,13.738,0.293,0.313,6.644,7.325999999999999,0.9797,23.551,19.815,21.675,23.103,1.62,1.757
"2021-11-10 - MIN 5, ARI 2",2021-11-10,MIN,5,ARI,2,Lost,2.0,40.349,45.940000000000005,29.709,33.924,2.314,2.0740000000000003,7.002,8.413999999999998,1.116,1.194,5.5520000000000005,6.958,18.124,20.865,0.375,0.473,9.082,11.334,12.883,14.136,0.7899999999999999,0.411,7.272,6.929,0.9715,22.409,19.848,22.633,26.486,1.623,1.988,3.0,48.59,35.714,35.67,27.469,2.438,1.361,9.802,6.318,1.3130000000000002,0.776,7.343999999999999,5.208,23.02,15.779999999999998,0.3,0.2759999999999999,11.251,7.68,11.788,10.795,0.8150000000000001,0.293,6.156999999999999,5.727,0.9833,25.574,21.539,17.26,19.68,1.9950000000000003,1.482
"2021-11-11 - EDM 5, BOS 3",2021-11-11,EDM,5,BOS,3,Lost,1.0,44.804,45.713,34.737,32.878,2.333,2.346,11.036,9.513,1.107,1.344,8.251000000000001,7.154999999999999,16.797,20.379,0.287,0.382,9.061,11.147,13.604,12.851,0.829,0.594,7.696000000000001,5.264,1.0192,26.397,24.75,22.357,24.231,2.125,2.005,1.0,36.973,47.726,28.084000000000003,37.127,1.7599999999999998,1.3969999999999998,5.688000000000001,7.412000000000001,0.883,0.508,3.892,4.954,17.531,23.582,0.376,0.495,9.637,14.225,12.216,14.775,0.487,0.3969999999999999,6.32,7.302,0.9606,20.978,17.951999999999998,22.144,28.43,1.4300000000000002,1.956
"2021-11-11 - CGY 2, MTL 4",2021-11-11,CGY,2,MTL,4,Won,1.0,39.659000000000006,50.682,30.482000000000006,38.495,1.094,2.261,7.045,8.303999999999998,0.6080000000000001,1.009,5.289,6.392,20.684,23.008,0.287,0.2219999999999999,8.98,11.229,10.96,17.282,0.199,1.013,5.133,9.198,1.0213,20.956,18.143,25.522,28.104000000000003,1.766,2.175,1.0,40.612,43.912,29.753,30.922,1.829,1.489,8.075,9.99,1.217,0.693,5.506,7.289,18.208,18.538,0.31,0.218,10.323,8.977,11.685,13.869,0.295,0.585,5.3580000000000005,6.399,0.989,22.388,19.747,23.942,23.522,1.717,2.029
"2021-11-11 - LA 2, OTT 0",2021-11-11,LA,2,OTT,0,Lost,1.0,43.552,43.799,31.728,33.948,1.2029999999999998,1.893,9.591,8.824,0.6980000000000001,1.408,6.868,6.802000000000001,20.349,23.979000000000003,0.0,0.199,8.595,11.105,15.509,13.131,0.4999999999999999,0.287,6.544,6.1450000000000005,1.0239,22.837,25.116000000000003,21.963,24.713,2.057,1.966,1.0,51.899,39.735,37.760000000000005,30.343,2.574,1.955,8.189,7.586,1.5450000000000002,0.8950000000000001,5.888,5.336,25.99,18.898000000000003,0.636,0.5469999999999999,12.989,8.256,16.645000000000003,12.377,0.4109999999999999,0.49,7.874,7.673,1.0002,27.907,24.807,20.031,22.423,2.105,1.748
"2021-11-11 - WSH 2, DET 0",2021-11-11,WSH,2,DET,0,Lost,2.0,40.328,43.982000000000006,28.105,34.769,1.785,2.829,7.0550000000000015,10.434,0.8949999999999999,1.325,5.45,7.687,16.509,17.773000000000003,0.5820000000000001,0.428,8.687000000000001,9.706,12.923000000000002,12.882,0.301,1.084,6.201,6.233,1.025,21.133000000000003,20.097,23.302,24.85,1.5850000000000002,2.132,1.0,49.832,39.071,36.57,30.275,2.069,1.919,12.143,9.475,1.08,1.425,8.278,7.394999999999999,20.034,15.323999999999998,0.295,0.107,10.607,8.828,13.666999999999998,11.81,0.683,0.412,6.473999999999999,6.147,0.9882,26.67,25.791000000000004,21.39,23.488,2.291,2.068
