Game,Team,Unnamed: 2,TOI,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,HDCF,HDCA,HDCF%,HDSF,HDSA,HDSF%,HDGF,HDGA,HDGF%,HDSH%,HDSV%,MDCF,MDCA,MDCF%,MDSF,MDSA,MDSF%,MDGF,MDGA,MDGF%,MDSH%,MDSV%,LDCF,LDCA,LDCF%,LDSF,LDSA,LDSF%,LDGF,LDGA,LDGF%,LDSH%,LDSV%,SH%,SV%,PDO,Attendance
"2021-10-12 - PIT 6, TB 2",PIT,Limited ReportFull Report,53.9,59.32,41.47,58.86,47.83,29.32,62.0,34.5,20.58,62.63,3.18,0.0,100.00,2.76,1.17,70.24,37.05,15.26,70.83,13.21,3.48,79.17,10.91,2.6,80.73,2.14,0.0,100.00,19.62,100.00,24.07,11.7,67.28,13.76,4.63,74.83,0.0,0.0,-,0.00,100.00,33.56,30.71,52.22,9.99,10.56,48.62,1.12,0.0,100.00,11.17,100.0,9.22,100.0,1.092,19092
"2021-10-12 - PIT 6, TB 2",TB,Limited ReportFull Report,53.9,41.47,59.32,41.14,29.32,47.83,38.0,20.58,34.5,37.37,0.0,3.18,0.00,1.17,2.76,29.76,15.26,37.05,29.17,3.48,13.21,20.83,2.6,10.91,19.27,0.0,2.14,0.00,0.00,80.38,11.7,24.07,32.72,4.63,13.76,25.17,0.0,0.0,-,0.00,100.00,30.71,33.56,47.78,10.56,9.99,51.38,0.0,1.12,0.00,0.0,88.83,0.0,90.78,0.908,19092
"2021-10-12 - SEA 3, VGK 4",SEA,Limited ReportFull Report,45.716666666667,47.66,45.61,51.1,37.1,34.51,51.81,24.81,21.87,53.14,3.03,3.86,43.97,2.09,2.26,48.05,21.62,21.21,50.48,10.98,7.94,58.02,4.9,7.03,41.06,2.06,2.9,41.54,42.00,58.82,10.53,13.51,43.82,6.86,2.97,69.83,0.0,0.95,0.00,0.00,68.03,23.97,22.72,51.33,12.85,12.15,51.4,0.94,0.0,100.00,7.3,100.0,12.22,82.35,0.946,18431
"2021-10-12 - SEA 3, VGK 4",VGK,Limited ReportFull Report,45.716666666667,45.61,47.66,48.9,34.51,37.1,48.19,21.87,24.81,46.86,3.86,3.03,56.03,2.26,2.09,51.95,21.21,21.62,49.52,7.94,10.98,41.98,7.03,4.9,58.94,2.9,2.06,58.46,41.18,58.00,13.51,10.53,56.18,2.97,6.86,30.17,0.95,0.0,100.00,31.97,100.00,22.72,23.97,48.67,12.15,12.85,48.6,0.0,0.94,0.00,0.0,92.7,17.65,87.78,1.054,18431
"2021-10-13 - MTL 1, TOR 2",MTL,Limited ReportFull Report,47.966666666667,42.49,52.9,44.54,31.52,42.02,42.86,25.32,23.51,51.85,1.06,0.94,52.82,1.82,2.7,40.34,22.91,33.57,40.56,7.39,14.03,34.51,6.26,9.52,39.67,1.06,0.0,100.00,16.91,100.00,15.4,19.6,44.0,11.29,6.83,62.32,0.0,0.95,0.00,0.00,86.11,12.96,16.78,43.57,6.73,6.01,52.84,0.0,0.0,-,0.0,100.0,4.17,95.99,1.002,18493
"2021-10-13 - MTL 1, TOR 2",TOR,Limited ReportFull Report,47.966666666667,52.9,42.49,55.46,42.02,31.52,57.14,23.51,25.32,48.15,0.94,1.06,47.18,2.7,1.82,59.66,33.57,22.91,59.44,14.03,7.39,65.49,9.52,6.26,60.33,0.0,1.06,0.00,0.00,83.09,19.6,15.4,56.0,6.83,11.29,37.68,0.95,0.0,100.00,13.89,100.00,16.78,12.96,56.43,6.01,6.73,47.16,0.0,0.0,-,0.0,100.0,4.01,95.83,0.998,18493
"2021-10-13 - NYR 1, WSH 5",NYR,Limited ReportFull Report,42.5,27.74,35.23,44.06,18.99,28.36,40.11,11.29,17.86,38.72,0.0,0.99,0.00,1.16,1.23,48.56,11.7,21.48,35.26,1.0,3.03,24.88,0.99,2.02,32.95,0.0,0.0,-,0.00,100.00,10.37,18.88,35.47,4.85,8.13,37.35,0.0,0.98,0.00,0.00,87.99,13.74,8.57,61.58,5.3,4.38,54.76,0.0,0.0,-,0.0,100.0,0.0,94.48,0.945,18573
"2021-10-13 - NYR 1, WSH 5",WSH,Limited ReportFull Report,42.5,35.23,27.74,55.94,28.36,18.99,59.89,17.86,11.29,61.28,0.99,0.0,100.00,1.23,1.16,51.44,21.48,11.7,64.74,3.03,1.0,75.12,2.02,0.99,67.05,0.0,0.0,-,0.00,100.00,18.88,10.37,64.53,8.13,4.85,62.65,0.98,0.0,100.00,12.01,100.00,8.57,13.74,38.42,4.38,5.3,45.24,0.0,0.0,-,0.0,100.0,5.52,100.0,1.055,18573
"2021-10-13 - CHI 2, COL 4",CHI,Limited ReportFull Report,43.783333333333,36.32,58.78,38.19,25.15,39.58,38.85,20.27,28.91,41.22,1.0,3.9,20.46,0.94,2.5,27.32,14.36,35.14,29.01,2.9,11.03,20.82,2.85,7.13,28.58,0.0,2.9,0.00,0.00,59.38,11.12,24.7,31.04,4.73,9.32,33.66,1.0,0.0,100.00,21.09,100.00,19.62,18.94,50.88,11.2,12.58,47.1,0.0,1.07,0.00,0.0,91.51,4.95,86.5,0.915,18037
"2021-10-13 - CHI 2, COL 4",COL,Limited ReportFull Report,43.783333333333,58.78,36.32,61.81,39.58,25.15,61.15,28.91,20.27,58.78,3.9,1.0,79.54,2.5,0.94,72.68,35.14,14.36,70.99,11.03,2.9,79.18,7.13,2.85,71.42,2.9,0.0,100.00,40.62,100.00,24.7,11.12,68.96,9.32,4.73,66.34,0.0,1.0,0.00,0.00,78.91,18.94,19.62,49.12,12.58,11.2,52.9,1.07,0.0,100.00,8.49,100.0,13.5,95.05,1.085,18037
