Game,Team,Unnamed: 2,TOI,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,HDCF,HDCA,HDCF%,HDSF,HDSA,HDSF%,HDGF,HDGA,HDGF%,HDSH%,HDSV%,MDCF,MDCA,MDCF%,MDSF,MDSA,MDSF%,MDGF,MDGA,MDGF%,MDSH%,MDSV%,LDCF,LDCA,LDCF%,LDSF,LDSA,LDSF%,LDGF,LDGA,LDGF%,LDSH%,LDSV%,SH%,SV%,PDO,Attendance
"2024-04-10 - VGK 1, EDM 5",VGK,Limited ReportFull Report,55.25,49.81,56.31,46.94,32.88,39.82,45.23,15.3,22.17,40.84,0.0,3.91,0.00,2.28,2.66,46.08,21.28,25.43,45.56,8.84,11.93,42.57,3.88,6.05,39.12,0.0,0.96,0.00,0.00,84.05,12.22,13.7,47.14,4.95,3.12,61.34,0.0,0.0,-,0.00,100.00,28.31,36.33,43.79,6.49,13.29,32.81,0.0,3.07,0.00,0.0,76.91,0.0,82.35,0.823,18347
"2024-04-10 - VGK 1, EDM 5",EDM,Limited ReportFull Report,55.25,56.31,49.81,53.06,39.82,32.88,54.77,22.17,15.3,59.16,3.91,0.0,100.00,2.66,2.28,53.92,25.43,21.28,54.44,11.93,8.84,57.43,6.05,3.88,60.88,0.96,0.0,100.00,15.95,100.00,13.7,12.22,52.86,3.12,4.95,38.66,0.0,0.0,-,0.00,100.00,36.33,28.31,56.21,13.29,6.49,67.19,3.07,0.0,100.00,23.09,100.0,17.65,100.0,1.177,18347
"2024-04-10 - ARI 4, VAN 3",ARI,Limited ReportFull Report,45.683333333333,30.9,53.34,36.68,24.37,37.21,39.58,12.82,16.76,43.34,3.19,1.87,62.98,1.22,2.65,31.45,11.76,25.51,31.56,5.43,12.71,29.93,1.11,5.5,16.84,1.08,0.92,54.10,97.18,83.30,6.37,12.46,33.85,4.16,4.65,47.2,1.05,1.03,50.58,25.30,77.90,21.24,30.78,40.83,7.58,6.55,53.65,1.05,0.0,100.00,13.89,100.0,24.88,88.81,1.137,18856
"2024-04-10 - ARI 4, VAN 3",VAN,Limited ReportFull Report,45.683333333333,53.34,30.9,63.32,37.21,24.37,60.42,16.76,12.82,56.66,1.87,3.19,37.02,2.65,1.22,68.55,25.51,11.76,68.44,12.71,5.43,70.07,5.5,1.11,83.16,0.92,1.08,45.90,16.70,2.82,12.46,6.37,66.15,4.65,4.16,52.8,1.03,1.05,49.42,22.10,74.70,30.78,21.24,59.17,6.55,7.58,46.35,0.0,1.05,0.00,0.0,86.11,11.19,75.12,0.863,18856
"2024-04-11 - WSH 2, BUF 4",WSH,Limited ReportFull Report,55.633333333333,54.25,44.41,54.99,39.77,26.58,59.93,21.82,16.31,57.22,1.01,2.92,25.78,2.6,0.98,72.54,27.63,15.82,63.6,12.5,3.86,76.39,7.16,1.95,78.54,1.04,0.94,52.38,14.47,51.83,15.06,12.15,55.34,3.01,5.99,33.43,0.0,1.88,0.00,0.00,68.53,30.07,27.4,52.33,11.62,7.32,61.35,0.0,0.0,-,0.0,100.0,4.65,82.1,0.867,15454
"2024-04-11 - WSH 2, BUF 4",BUF,Limited ReportFull Report,55.633333333333,44.41,54.25,45.01,26.58,39.77,40.07,16.31,21.82,42.78,2.92,1.01,74.22,0.98,2.6,27.46,15.82,27.63,36.4,3.86,12.5,23.61,1.95,7.16,21.46,0.94,1.04,47.62,48.17,85.53,12.15,15.06,44.66,5.99,3.01,66.57,1.88,0.0,100.00,31.47,100.00,27.4,30.07,47.67,7.32,11.62,38.65,0.0,0.0,-,0.0,100.0,17.9,95.35,1.133,15454
"2024-04-11 - CBJ 0, FLA 4",CBJ,Limited ReportFull Report,54.0,32.18,77.42,29.36,25.28,59.27,29.9,22.53,45.48,33.13,0.0,3.91,0.00,1.2,3.69,24.46,15.46,41.12,27.32,4.9,17.21,22.18,3.84,12.31,23.81,0.0,1.97,0.00,0.00,84.01,10.32,24.29,29.81,5.86,13.25,30.66,0.0,0.95,0.00,0.00,92.85,19.62,37.07,34.62,9.75,18.92,34.01,0.0,1.07,0.00,0.0,94.36,0.0,91.4,0.914,18451
"2024-04-11 - CBJ 0, FLA 4",FLA,Limited ReportFull Report,54.0,77.42,32.18,70.64,59.27,25.28,70.1,45.48,22.53,66.87,3.91,0.0,100.00,3.69,1.2,75.54,41.12,15.46,72.68,17.21,4.9,77.82,12.31,3.84,76.19,1.97,0.0,100.00,15.99,100.00,24.29,10.32,70.19,13.25,5.86,69.34,0.95,0.0,100.00,7.15,100.00,37.07,19.62,65.38,18.92,9.75,65.99,1.07,0.0,100.00,5.64,100.0,8.6,100.0,1.086,18451
"2024-04-11 - PHI 4, NYR 1",PHI,Limited ReportFull Report,44.166666666667,36.75,36.21,50.37,29.78,25.29,54.07,20.95,15.53,57.44,4.24,0.0,100.00,1.67,2.21,43.07,16.43,17.02,49.12,9.96,8.79,53.11,4.41,6.23,41.43,1.06,0.0,100.00,24.02,100.00,6.66,8.06,45.23,4.27,2.83,60.15,3.06,0.0,100.00,71.76,100.00,20.26,22.9,46.95,11.29,5.48,67.33,0.0,0.0,-,0.0,100.0,20.22,100.0,1.202,18006
"2024-04-11 - PHI 4, NYR 1",NYR,Limited ReportFull Report,44.166666666667,36.21,36.75,49.63,25.29,29.78,45.93,15.53,20.95,42.56,0.0,4.24,0.00,2.21,1.67,56.93,17.02,16.43,50.88,8.79,9.96,46.89,6.23,4.41,58.57,0.0,1.06,0.00,0.00,75.98,8.06,6.66,54.77,2.83,4.27,39.85,0.0,3.06,0.00,0.00,28.24,22.9,20.26,53.05,5.48,11.29,32.67,0.0,0.0,-,0.0,100.0,0.0,79.78,0.798,18006
