Date,Away Team,Away Team Odds,Away Team Decimal Odds,Away Team Implied Probability,Away Probability,Home Probability,Home Team Implied Probability,Home Team Decimal Odds,Home Team Odds,Home Team
2025-03-20,COL,-120,1.83,0.55,0.5590890973133198,0.4409109026866802,0.5,2.0,100,OTT
2025-03-20,CGY,145,2.45,0.41,0.4901795900220078,0.509820409977992,0.64,1.57,-175,NJ
2025-03-20,TOR,115,2.15,0.47,0.3656432221065743,0.6343567778934258,0.57,1.74,-135,NYR
2025-03-20,PHI,200,3.0,0.33,0.4129918949442266,0.5870081050557734,0.71,1.4,-250,WSH
2025-03-20,FLA,-190,1.53,0.65,0.486488784144412,0.513511215855588,0.39,2.55,155,CBJ
2025-03-20,FLA,-190,1.53,0.65,0.486488784144412,0.513511215855588,0.48,2.1,110,CBJ
2025-03-20,MTL,115,2.15,0.47,0.38581133801661205,0.614188661983388,0.57,1.74,-135,NYI
2025-03-20,VAN,120,2.2,0.45,0.41459829990519265,0.5854017000948074,0.59,1.69,-145,STL
2025-03-20,ANA,145,2.45,0.41,0.32207186945241756,0.6779281305475825,0.64,1.57,-175,NSH
2025-03-20,TB,-120,1.83,0.55,0.5273256195506097,0.47267438044939014,0.5,2.0,100,DAL
2025-03-20,LA,-275,1.36,0.74,0.5501506773997112,0.44984932260028876,0.31,3.25,225,CHI
2025-03-20,WPG,-105,1.95,0.51,0.45962158498534933,0.5403784150146507,0.53,1.87,-115,EDM
2025-03-20,BUF,150,2.5,0.4,0.370409547394095,0.6295904526059051,0.64,1.56,-180,UHC
2025-03-20,BOS,240,3.4,0.29,0.35203897895030845,0.6479610210496914,0.75,1.33,-300,VGK
2025-03-20,CAR,-350,1.29,0.78,0.6652418764512403,0.3347581235487598,0.26,3.8,280,SJ
