Date,Away Team,Away Team Odds,Away Team Decimal Odds,Away Team Implied Probability,Away Probability,Home Probability,Home Team Implied Probability,Home Team Decimal Odds,Home Team Odds,Home Team
2025-01-02,CAR,105,2.05,0.49,0.46613934886827635,0.5338606511317237,0.56,1.8,-125,FLA
2025-01-02,CAR,105,2.05,0.49,0.46613934886827635,0.5338606511317237,0.68,1.48,-210,FLA
2025-01-02,BOS,-110,1.91,0.52,0.4660454704711382,0.5339545295288617,0.52,1.91,-110,NYR
2025-01-02,MIN,140,2.4,0.42,0.4662202311561249,0.5337797688438749,0.62,1.61,-165,WSH
2025-01-02,DET,-105,1.95,0.51,0.4661047726711431,0.5338952273288567,0.53,1.87,-115,CBJ
2025-01-02,TOR,-110,1.91,0.52,0.46607738970391666,0.5339226102960836,0.52,1.91,-110,NYI
2025-01-02,OTT,155,2.55,0.39,0.4660364455423578,0.5339635544576422,0.65,1.53,-190,DAL
2025-01-02,OTT,-115,1.87,0.53,0.4660364455423578,0.5339635544576422,0.65,1.53,-190,DAL
2025-01-02,ANA,225,3.25,0.31,0.4663056867457592,0.5336943132542408,0.74,1.36,-275,WPG
2025-01-02,ANA,300,4.0,0.25,0.4663056867457592,0.5336943132542408,0.74,1.36,-275,WPG
2025-01-02,BUF,170,2.7,0.37,0.46613118685703164,0.5338688131429686,0.68,1.48,-210,COL
2025-01-02,UHC,-125,1.8,0.56,0.4660290455268123,0.5339709544731875,0.49,2.05,105,CGY
2025-01-02,PHI,155,2.55,0.39,0.4660667550468353,0.5339332449531646,0.65,1.53,-190,VGK
2025-01-02,VAN,-105,1.95,0.51,0.46603269738533637,0.5339673026146635,0.53,1.87,-115,SEA
2025-01-02,VAN,105,2.05,0.49,0.46603269738533637,0.5339673026146635,0.53,1.87,-115,SEA
2025-01-02,TB,-275,1.36,0.74,0.46599957357845356,0.5340004264215462,0.31,3.25,225,SJ
