Date,Away Team,Away Team Odds,Away Team Decimal Odds,Away Team Implied Probability,Away Probability,Home Probability,Home Team Implied Probability,Home Team Decimal Odds,Home Team Odds,Home Team
2025-02-06,OTT,135,2.35,0.43,0.5137600661276042,0.4862399338723957,0.62,1.62,-160,TB
2025-02-06,VGK,-115,1.87,0.53,0.6435682341631511,0.3564317658368489,0.51,1.95,-105,NJ
2025-02-06,WSH,-165,1.61,0.62,0.47350951683562104,0.5264904831643791,0.42,2.4,140,PHI
2025-02-06,UHC,-160,1.62,0.62,0.545851161094782,0.4541488389052178,0.43,2.35,135,CBJ
2025-02-06,CAR,-190,1.53,0.65,0.5862902642304404,0.4137097357695595,0.39,2.54,154,MIN
2025-02-06,FLA,-165,1.61,0.62,0.6144262716708431,0.3855737283291569,0.42,2.4,140,STL
2025-02-06,COL,-160,1.62,0.62,0.576625255899675,0.4233747441003251,0.43,2.35,135,CGY
2025-02-06,COL,140,2.4,0.42,0.576625255899675,0.4233747441003251,0.43,2.35,135,CGY
2025-02-06,TOR,-160,1.62,0.62,0.574899331523959,0.425100668476041,0.43,2.35,135,SEA
2025-02-06,VAN,-200,1.5,0.67,0.6011482765711896,0.3988517234288106,0.38,2.65,165,SJ
