Date,Away Team,Away Team Odds,Away Team Decimal Odds,Away Team Implied Probability,Away Probability,Home Probability,Home Team Implied Probability,Home Team Decimal Odds,Home Team Odds,Home Team
2025-02-25,TOR,-155,1.65,0.61,0.5986694015500506,0.40133059844994945,0.43,2.3,130,BOS
2025-02-25,ANA,160,2.6,0.38,0.3727860317553838,0.6272139682446161,0.65,1.53,-190,BUF
2025-02-25,CAR,-220,1.45,0.69,0.5541212270678885,0.44587877293211176,0.36,2.8,180,MTL
2025-02-25,PIT,115,2.15,0.47,0.6044477357191631,0.395552264280837,0.57,1.74,-135,PHI
2025-02-25,CGY,165,2.65,0.38,0.40519878413524557,0.5948012158647544,0.67,1.5,-200,WSH
2025-02-25,DAL,-180,1.56,0.64,0.5,0.5,0.4,2.5,150,CBJ
2025-02-25,EDM,-110,1.91,0.52,0.442253827612011,0.557746172387989,0.52,1.91,-110,TB
2025-02-25,NYR,-120,1.83,0.55,0.35685822127547434,0.6431417787245256,0.5,2.0,100,NYI
2025-02-25,SEA,120,2.2,0.45,0.38475306255569675,0.6152469374443034,0.58,1.71,-140,STL
2025-02-25,FLA,-160,1.62,0.62,0.5971655396474985,0.4028344603525015,0.43,2.35,135,NSH
2025-02-25,DET,100,2.0,0.5,0.48580954477681504,0.5141904552231851,0.55,1.83,-120,MIN
2025-02-25,CHI,220,3.2,0.31,0.35775896032578197,0.6422410396742181,0.74,1.36,-275,UHC
