Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO
"2021-10-12 - PIT 6, TB 2",PIT,59.32,41.47,47.83,29.32,34.5,20.58,3.18,0.0,2.76,1.17,37.05,15.26,13.21,3.48,10.91,2.6,2.14,0.0,24.07,11.7,13.76,4.63,0.0,0.0,33.56,30.71,9.99,10.56,1.12,0.0,1.092
"2021-10-12 - PIT 6, TB 2",TB,41.47,59.32,29.32,47.83,20.58,34.5,0.0,3.18,1.17,2.76,15.26,37.05,3.48,13.21,2.6,10.91,0.0,2.14,11.7,24.07,4.63,13.76,0.0,0.0,30.71,33.56,10.56,9.99,0.0,1.12,0.908
"2021-10-12 - SEA 3, VGK 4",SEA,47.66,45.61,37.1,34.51,24.81,21.87,3.03,3.86,2.09,2.26,21.62,21.21,10.98,7.94,4.9,7.03,2.06,2.9,10.53,13.51,6.86,2.97,0.0,0.95,23.97,22.72,12.85,12.15,0.94,0.0,0.946
"2021-10-12 - SEA 3, VGK 4",VGK,45.61,47.66,34.51,37.1,21.87,24.81,3.86,3.03,2.26,2.09,21.21,21.62,7.94,10.98,7.03,4.9,2.9,2.06,13.51,10.53,2.97,6.86,0.95,0.0,22.72,23.97,12.15,12.85,0.0,0.94,1.054
"2021-10-13 - MTL 1, TOR 2",MTL,42.49,52.9,31.52,42.02,25.32,23.51,1.06,0.94,1.82,2.7,22.91,33.57,7.39,14.03,6.26,9.52,1.06,0.0,15.4,19.6,11.29,6.83,0.0,0.95,12.96,16.78,6.73,6.01,0.0,0.0,1.002
"2021-10-13 - MTL 1, TOR 2",TOR,52.9,42.49,42.02,31.52,23.51,25.32,0.94,1.06,2.7,1.82,33.57,22.91,14.03,7.39,9.52,6.26,0.0,1.06,19.6,15.4,6.83,11.29,0.95,0.0,16.78,12.96,6.01,6.73,0.0,0.0,0.998
"2021-10-13 - NYR 1, WSH 5",NYR,27.74,35.23,18.99,28.36,11.29,17.86,0.0,0.99,1.16,1.23,11.7,21.48,1.0,3.03,0.99,2.02,0.0,0.0,10.37,18.88,4.85,8.13,0.0,0.98,13.74,8.57,5.3,4.38,0.0,0.0,0.945
"2021-10-13 - NYR 1, WSH 5",WSH,35.23,27.74,28.36,18.99,17.86,11.29,0.99,0.0,1.23,1.16,21.48,11.7,3.03,1.0,2.02,0.99,0.0,0.0,18.88,10.37,8.13,4.85,0.98,0.0,8.57,13.74,4.38,5.3,0.0,0.0,1.055
"2021-10-13 - CHI 2, COL 4",CHI,36.32,58.78,25.15,39.58,20.27,28.91,1.0,3.9,0.94,2.5,14.36,35.14,2.9,11.03,2.85,7.13,0.0,2.9,11.12,24.7,4.73,9.32,1.0,0.0,19.62,18.94,11.2,12.58,0.0,1.07,0.915
"2021-10-13 - CHI 2, COL 4",COL,58.78,36.32,39.58,25.15,28.91,20.27,3.9,1.0,2.5,0.94,35.14,14.36,11.03,2.9,7.13,2.85,2.9,0.0,24.7,11.12,9.32,4.73,0.0,1.0,18.94,19.62,12.58,11.2,1.07,0.0,1.085
