Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO
"2023-10-10 - NSH 3, TB 5",NSH,36.88,43.09,23.4,34.45,18.39,22.39,2.07,0.94,2.63,1.42,19.67,17.87,9.54,4.86,7.49,3.97,2.07,0.0,10.05,13.19,5.09,2.99,0.0,0.0,16.6,33.19,5.9,15.7,0.0,0.95,1.07
"2023-10-10 - NSH 3, TB 5",TB,43.09,36.88,34.45,23.4,22.39,18.39,0.94,2.07,1.42,2.63,17.87,19.67,4.86,9.54,3.97,7.49,0.0,2.07,13.19,10.05,2.99,5.09,0.0,0.0,33.19,16.6,15.7,5.9,0.95,0.0,0.93
"2023-10-10 - CHI 4, PIT 2",CHI,52.25,56.05,40.93,45.53,28.23,34.59,3.08,1.93,2.93,2.55,27.11,20.73,9.13,9.85,5.93,9.02,1.04,0.94,17.75,10.97,10.08,6.93,2.11,0.0,25.82,35.19,11.3,14.59,0.0,1.06,1.053
"2023-10-10 - CHI 4, PIT 2",PIT,56.05,52.25,45.53,40.93,34.59,28.23,1.93,3.08,2.55,2.93,20.73,27.11,9.85,9.13,9.02,5.93,0.94,1.04,10.97,17.75,6.93,10.08,0.0,2.11,35.19,25.82,14.59,11.3,1.06,0.0,0.947
"2023-10-10 - SEA 1, VGK 4",SEA,47.64,46.53,31.34,32.93,21.91,25.51,1.0,2.92,2.55,2.39,30.34,22.54,10.99,13.05,7.92,10.16,1.02,1.93,18.94,9.57,5.89,5.07,0.0,0.98,20.44,26.44,7.18,10.29,0.0,0.0,0.931
"2023-10-10 - SEA 1, VGK 4",VGK,46.53,47.64,32.93,31.34,25.51,21.91,2.92,1.0,2.39,2.55,22.54,30.34,13.05,10.99,10.16,7.92,1.93,1.02,9.57,18.94,5.07,5.89,0.98,0.0,26.44,20.44,10.29,7.18,0.0,0.0,1.069
"2023-10-11 - OTT 3, CAR 5",OTT,36.68,58.84,30.43,47.1,18.89,32.91,2.07,2.88,1.92,2.57,19.13,27.49,7.42,9.29,3.28,7.4,1.06,0.99,11.82,18.24,7.35,8.79,1.06,0.0,18.8,33.85,7.07,16.71,0.0,1.89,1.022
"2023-10-11 - OTT 3, CAR 5",CAR,58.84,36.68,47.1,30.43,32.91,18.89,2.88,2.07,2.57,1.92,27.49,19.13,9.29,7.42,7.4,3.28,0.99,1.06,18.24,11.82,8.79,7.35,0.0,1.06,33.85,18.8,16.71,7.07,1.89,0.0,0.978
"2023-10-11 - MTL 5, TOR 6",MTL,43.71,44.76,31.64,33.84,20.47,24.46,4.27,0.95,1.94,1.93,23.08,20.5,9.9,6.51,5.39,3.73,3.2,0.0,13.49,13.87,5.38,8.6,1.04,0.0,15.13,27.36,6.52,11.04,0.0,0.88,1.17
"2023-10-11 - MTL 5, TOR 6",TOR,44.76,43.71,33.84,31.64,24.46,20.47,0.95,4.27,1.93,1.94,20.5,23.08,6.51,9.9,3.73,5.39,0.0,3.2,13.87,13.49,8.6,5.38,0.0,1.04,27.36,15.13,11.04,6.52,0.88,0.0,0.83
"2023-10-11 - CHI 1, BOS 3",CHI,40.21,63.2,30.16,40.42,18.07,26.87,1.06,1.87,2.06,2.55,24.81,33.7,8.32,11.49,4.09,8.71,1.06,0.0,16.4,22.31,6.14,6.83,0.0,1.91,16.1,30.11,7.84,10.23,0.0,0.0,0.989
"2023-10-11 - CHI 1, BOS 3",BOS,63.2,40.21,40.42,30.16,26.87,18.07,1.87,1.06,2.55,2.06,33.7,24.81,11.49,8.32,8.71,4.09,0.0,1.06,22.31,16.4,6.83,6.14,1.91,0.0,30.11,16.1,10.23,7.84,0.0,0.0,1.011
"2023-10-11 - WPG 3, CGY 5",WPG,56.77,30.19,35.41,17.96,22.51,13.01,3.03,1.89,3.28,0.69,34.64,9.67,16.42,4.74,11.15,3.85,1.01,0.94,18.1,4.94,4.01,1.97,2.12,0.0,25.78,25.74,6.55,5.2,0.0,0.95,0.99
"2023-10-11 - WPG 3, CGY 5",CGY,30.19,56.77,17.96,35.41,13.01,22.51,1.89,3.03,0.69,3.28,9.67,34.64,4.74,16.42,3.85,11.15,0.94,1.01,4.94,18.1,1.97,4.01,0.0,2.12,25.74,25.78,5.2,6.55,0.95,0.0,1.01
"2023-10-11 - COL 5, LA 2",COL,52.0,44.71,38.88,31.92,31.08,22.29,3.18,1.87,2.62,1.76,18.98,20.38,5.63,6.12,5.62,5.25,0.0,1.84,13.53,13.98,9.8,5.47,2.09,0.0,37.14,28.99,15.74,9.72,1.12,0.0,1.019
"2023-10-11 - COL 5, LA 2",LA,44.71,52.0,31.92,38.88,22.29,31.08,1.87,3.18,1.76,2.62,20.38,18.98,6.12,5.63,5.25,5.62,1.84,0.0,13.98,13.53,5.47,9.8,0.0,2.09,28.99,37.14,9.72,15.74,0.0,1.12,0.981
"2023-10-11 - EDM 1, VAN 8",EDM,36.61,35.76,28.01,27.63,17.88,20.22,0.0,4.91,2.09,2.35,19.49,17.48,9.13,8.05,5.95,6.12,0.0,3.86,10.16,9.55,2.91,4.05,0.0,0.94,22.02,20.88,7.76,9.04,0.0,0.0,0.757
"2023-10-11 - EDM 1, VAN 8",VAN,35.76,36.61,27.63,28.01,20.22,17.88,4.91,0.0,2.35,2.09,17.48,19.49,8.05,9.13,6.12,5.95,3.86,0.0,9.55,10.16,4.05,2.91,0.94,0.0,20.88,22.02,9.04,7.76,0.0,0.0,1.243
"2023-10-12 - NYR 5, BUF 1",NYR,47.94,32.36,35.95,20.72,26.75,15.71,2.11,0.92,2.74,0.98,16.84,12.91,11.27,4.22,7.87,3.33,1.06,0.91,5.76,8.45,2.19,1.78,0.97,0.0,36.52,24.84,15.98,10.33,0.0,0.0,1.02
"2023-10-12 - NYR 5, BUF 1",BUF,32.36,47.94,20.72,35.95,15.71,26.75,0.92,2.11,0.98,2.74,12.91,16.84,4.22,11.27,3.33,7.87,0.91,1.06,8.45,5.76,1.78,2.19,0.0,0.97,24.84,36.52,10.33,15.98,0.0,0.0,0.98
